Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
us,b000gym1,7,"Saturday, May 18, 2013 22:39:46 UTC",52.6720,158.9419,4.9,73.80,134,"near the east coast of the Kamchatka Peninsula, Russia"
ak,10719729,1,"Saturday, May 18, 2013 22:12:18 UTC",65.0970,-149.4574,1.4,0.30,10,"northern Alaska"
ci,15345713,2,"Saturday, May 18, 2013 21:39:16 UTC",33.1805,-116.0428,1.2,5.80,31,"Southern California"
nn,00412233,1,"Saturday, May 18, 2013 20:16:41 UTC",37.1409,-116.7492,1.0,4.10,13,"Nevada"
ci,15345617,2,"Saturday, May 18, 2013 19:51:12 UTC",34.1068,-117.7667,1.1,3.80,13,"Greater Los Angeles area, California"
nc,71993816,1,"Saturday, May 18, 2013 19:37:37 UTC",37.4752,-118.8425,2.1,8.60,30,"Central California"
ak,10719700,1,"Saturday, May 18, 2013 19:34:02 UTC",63.6183,-147.8060,2.9,4.80,31,"Central Alaska"
nc,71993806,0,"Saturday, May 18, 2013 19:16:55 UTC",36.0122,-120.5775,1.1,2.80,15,"Central California"
hv,60500856,2,"Saturday, May 18, 2013 19:14:09 UTC",19.2198,-155.4842,2.2,36.30,43,"Island of Hawaii, Hawaii"
pr,13138009,0,"Saturday, May 18, 2013 18:43:48 UTC",19.4465,-66.2669,3.3,59.00, 6,"Puerto Rico region"
ci,15345593,2,"Saturday, May 18, 2013 18:35:27 UTC",32.8970,-116.2668,2.0,8.70,55,"Southern California"
ci,15345585,2,"Saturday, May 18, 2013 18:24:46 UTC",34.0533,-117.1747,1.2,6.20,28,"Greater Los Angeles area, California"
ci,15345577,2,"Saturday, May 18, 2013 18:24:13 UTC",34.0505,-117.1697,1.5,4.10,55,"Greater Los Angeles area, California"
ci,15345569,2,"Saturday, May 18, 2013 18:23:54 UTC",34.0528,-117.1725,1.5,7.50,53,"Greater Los Angeles area, California"
nc,71993761,0,"Saturday, May 18, 2013 17:55:19 UTC",36.5547,-121.0923,1.8,8.70,21,"Central California"
us,b000gye7,8,"Saturday, May 18, 2013 17:43:15 UTC",56.0842,164.6373,4.7,30.90,151,"Komandorskiye Ostrova, Russia region"
ak,10719663,1,"Saturday, May 18, 2013 17:40:55 UTC",60.2876,-152.9579,3.3,117.80,40,"Southern Alaska"
ci,15345537,2,"Saturday, May 18, 2013 17:31:21 UTC",33.4997,-116.4298,1.4,20.10,13,"Southern California"
ci,15345529,2,"Saturday, May 18, 2013 17:27:46 UTC",33.6572,-116.7655,1.6,15.10,50,"Southern California"
us,b000gydj,8,"Saturday, May 18, 2013 17:19:28 UTC",-28.3740,178.6490,5.0,609.40,64,"Kermadec Islands region"
